unique_key,created_date,complaint_category,borough,district,agency,supervisor,status,closed_date,hours_open,sla_hours,sla_breach,resolution_description
SR-2024-20000150,2024-06-14T06:53:00,PLUMBING,QUEENS,Jamaica,HPD,Director Priya Nair,Open,,23.1,168,NO,
SR-2024-20000151,2024-06-15T00:24:40,HEAT/HOT WATER,BROOKLYN,Bed-Stuy,HPD,Director Priya Nair,Open,,5.6,168,NO,
SR-2024-20000152,2024-06-13T06:00:00,UNSANITARY CONDITION,MANHATTAN,Inwood,HPD,Director Priya Nair,Open,,48.0,168,NO,
SR-2024-20000153,2024-06-14T18:33:07,UNSANITARY CONDITION,BRONX,Tremont,HPD,Director Priya Nair,Closed,2024-06-20T17:39:20,,168,NO,The building owner was notified and corrected the condition.
SR-2024-20000154,2024-06-10T06:00:00,PLUMBING,BROOKLYN,Crown Heights,HPD,Director Priya Nair,Open,,120.0,168,NO,
SR-2024-20000155,2024-06-09T23:00:00,Blocked Driveway,BROOKLYN,Bed-Stuy,NYPD,Lt. Marcus Webb,Closed,2024-06-10T21:55:24,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000156,2024-06-15T03:28:19,Water System,BRONX,Mott Haven,DEP,Mgr. Yvonne Blake,Closed,2024-06-16T08:31:24,,48,NO,A work crew was dispatched and resolved the issue.
SR-2024-20000157,2024-06-14T16:51:34,PAINT/PLASTER,BROOKLYN,Williamsburg,HPD,Director Priya Nair,Open,,13.1,168,NO,
SR-2024-20000158,2024-06-11T18:00:00,Noise - Residential,BROOKLYN,Flatbush,NYPD,Lt. Marcus Webb,Closed,2024-06-12T10:53:19,,24,NO,The Police Department responded to the complaint and took action.
SR-2024-20000159,2024-06-15T02:23:32,Noise - Residential,BROOKLYN,Flatbush,NYPD,Lt. Marcus Webb,Open,,3.6,24,NO,
SR-2024-20000160,2024-06-11T11:00:00,Illegal Parking,QUEENS,Forest Hills,NYPD,Lt. Marcus Webb,Closed,2024-06-12T08:28:16,,24,NO,The Police Department responded to the complaint and took action.
SR-2024-20000161,2024-06-09T13:00:00,UNSANITARY CONDITION,QUEENS,Astoria,HPD,Director Priya Nair,Closed,2024-06-14T12:35:37,,168,NO,The building owner was notified and corrected the condition.
SR-2024-20000162,2024-06-14T21:32:16,Request Large Bulky Item Collection,MANHATTAN,Harlem,DSNY,Supt. Carlos Rivera,Closed,2024-06-16T13:50:16,,48,NO,The Department of Sanitation responded and addressed the condition.
SR-2024-20000163,2024-06-14T12:49:42,UNSANITARY CONDITION,BRONX,Riverdale,HPD,Director Priya Nair,Closed,2024-06-18T00:34:55,,168,NO,An inspection was conducted and a violation was issued.
SR-2024-20000164,2024-06-15T05:58:14,HEAT/HOT WATER,MANHATTAN,East Village,HPD,Director Priya Nair,Closed,2024-06-17T16:54:45,,168,NO,An inspection was conducted and a violation was issued.
SR-2024-20000165,2024-06-14T10:53:03,Noise - Residential,BROOKLYN,Williamsburg,NYPD,Lt. Marcus Webb,Closed,2024-06-15T00:08:15,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000166,2024-06-14T22:44:31,Blocked Driveway,QUEENS,Jamaica,NYPD,Lt. Marcus Webb,Closed,2024-06-15T21:04:11,,24,NO,The Police Department responded to the complaint and took action.
SR-2024-20000167,2024-06-15T01:02:22,Noise - Vehicle,BROOKLYN,Williamsburg,NYPD,Lt. Marcus Webb,Open,,5.0,24,NO,
SR-2024-20000168,2024-06-14T07:38:58,Graffiti,QUEENS,Astoria,DSNY,Supt. Carlos Rivera,Closed,2024-06-15T04:03:57,,48,NO,Item was collected during the next scheduled pickup.
SR-2024-20000169,2024-06-14T15:48:09,Non-Emergency Police Matter,QUEENS,Flushing,NYPD,Lt. Marcus Webb,Closed,2024-06-15T09:55:58,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000170,2024-06-14T11:35:31,Noise - Residential,MANHATTAN,Harlem,NYPD,Lt. Marcus Webb,Closed,2024-06-15T08:31:51,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000171,2024-06-15T03:51:23,Illegal Parking,QUEENS,Flushing,NYPD,Lt. Marcus Webb,Open,,2.1,24,NO,
SR-2024-20000172,2024-06-11T15:00:00,Derelict Vehicle,STATEN ISLAND,St. George,NYPD,Lt. Marcus Webb,Closed,2024-06-12T13:50:41,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000173,2024-06-14T16:09:55,Non-Emergency Police Matter,MANHATTAN,Washington Heights,NYPD,Lt. Marcus Webb,Closed,2024-06-15T14:53:02,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000174,2024-06-15T00:11:28,UNSANITARY CONDITION,BRONX,Pelham Bay,HPD,Director Priya Nair,Open,,5.8,168,NO,
SR-2024-20000175,2024-06-14T10:39:30,Noise - Vehicle,BRONX,Pelham Bay,NYPD,Lt. Marcus Webb,Closed,2024-06-14T17:51:32,,24,NO,The Police Department responded to the complaint and took action.
SR-2024-20000176,2024-06-14T19:48:19,UNSANITARY CONDITION,BROOKLYN,Williamsburg,HPD,Director Priya Nair,Open,,10.2,168,NO,
SR-2024-20000177,2024-06-14T11:58:30,Water System,BRONX,Mott Haven,DEP,Mgr. Yvonne Blake,Open,,18.0,48,NO,
SR-2024-20000178,2024-06-14T20:35:52,HEAT/HOT WATER,BROOKLYN,Bushwick,HPD,Director Priya Nair,Closed,2024-06-20T19:25:41,,168,NO,An inspection was conducted and a violation was issued.
SR-2024-20000179,2024-06-14T07:57:46,Elevator,BROOKLYN,Bushwick,DOB,Insp. Tony Marchetti,Closed,2024-06-17T05:37:02,,96,NO,A violation was issued and the owner was notified.
SR-2024-20000180,2024-06-08T08:00:00,Street Light Condition,QUEENS,Flushing,DOT,Dir. Samantha Chen,Closed,2024-06-11T00:22:48,,72,NO,A work order was issued for repair.
SR-2024-20000181,2024-06-14T21:39:06,PAINT/PLASTER,QUEENS,Forest Hills,HPD,Director Priya Nair,Closed,2024-06-21T22:15:20,,168,NO,An inspection was conducted and a violation was issued.
SR-2024-20000182,2024-06-14T23:39:42,PAINT/PLASTER,QUEENS,Forest Hills,HPD,Director Priya Nair,Open,,6.3,168,NO,
SR-2024-20000183,2024-06-14T14:19:42,HEAT/HOT WATER,BROOKLYN,Williamsburg,HPD,Director Priya Nair,Closed,2024-06-19T04:53:09,,168,NO,The building owner was notified and corrected the condition.
SR-2024-20000184,2024-06-11T09:00:00,Elevator,MANHATTAN,Chelsea,DOB,Insp. Tony Marchetti,Closed,2024-06-14T12:11:35,,96,NO,A violation was issued and the owner was notified.
SR-2024-20000185,2024-06-15T03:26:28,Water System,QUEENS,Flushing,DEP,Mgr. Yvonne Blake,Closed,2024-06-16T08:58:13,,48,NO,The condition was investigated and corrected.
SR-2024-20000186,2024-06-14T08:34:08,Illegal Parking,MANHATTAN,Washington Heights,NYPD,Lt. Marcus Webb,Closed,2024-06-15T09:32:18,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000187,2024-06-11T10:00:00,Noise - Street/Sidewalk,BROOKLYN,Crown Heights,NYPD,Lt. Marcus Webb,Closed,2024-06-12T04:25:05,,24,NO,The Police Department responded to the complaint and took action.
SR-2024-20000188,2024-06-14T19:30:36,Illegal Parking,BRONX,Riverdale,NYPD,Lt. Marcus Webb,Closed,2024-06-15T07:00:13,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000189,2024-06-10T19:00:00,Blocked Driveway,BRONX,Pelham Bay,NYPD,Lt. Marcus Webb,Open,,107.0,24,YES,
SR-2024-20000190,2024-06-12T11:00:00,HEAT/HOT WATER,BRONX,Mott Haven,HPD,Director Priya Nair,Open,,67.0,168,NO,
SR-2024-20000191,2024-06-15T01:40:39,PLUMBING,BRONX,Riverdale,HPD,Director Priya Nair,Closed,2024-06-17T15:51:27,,168,NO,The building owner was notified and corrected the condition.
SR-2024-20000192,2024-06-14T20:39:05,Noise - Commercial,BRONX,Riverdale,NYPD,Lt. Marcus Webb,Closed,2024-06-15T09:46:23,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000193,2024-06-07T17:00:00,Graffiti,BROOKLYN,Bed-Stuy,DSNY,Supt. Carlos Rivera,Closed,2024-06-09T02:05:42,,48,NO,The Department of Sanitation responded and addressed the condition.
SR-2024-20000194,2024-06-14T15:37:30,Noise - Commercial,MANHATTAN,Inwood,NYPD,Lt. Marcus Webb,Closed,2024-06-15T04:28:37,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000195,2024-06-14T07:49:25,Noise - Commercial,BROOKLYN,Flatbush,NYPD,Lt. Marcus Webb,Closed,2024-06-14T23:14:38,,24,NO,The Police Department responded to the complaint and took action.
SR-2024-20000196,2024-06-14T20:13:40,Graffiti,BRONX,Mott Haven,DSNY,Supt. Carlos Rivera,Closed,2024-06-16T04:21:19,,48,NO,Item was collected during the next scheduled pickup.
SR-2024-20000197,2024-06-15T04:05:47,Blocked Driveway,BROOKLYN,Bed-Stuy,NYPD,Lt. Marcus Webb,Closed,2024-06-15T13:21:09,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000198,2024-06-14T15:26:00,Request Large Bulky Item Collection,BROOKLYN,Flatbush,DSNY,Supt. Carlos Rivera,Open,,14.6,48,NO,
SR-2024-20000199,2024-06-14T22:46:16,Illegal Parking,BRONX,Mott Haven,NYPD,Lt. Marcus Webb,Closed,2024-06-15T23:03:04,,24,NO,The Police Department responded to the complaint and took action.
SR-2024-20000200,2024-06-15T00:29:18,PAINT/PLASTER,BROOKLYN,Williamsburg,HPD,Director Priya Nair,Closed,2024-06-22T17:01:43,,168,NO,The building owner was notified and corrected the condition.
SR-2024-20000201,2024-06-14T15:39:41,Illegal Parking,BRONX,Mott Haven,NYPD,Lt. Marcus Webb,Closed,2024-06-15T02:35:22,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000202,2024-06-14T19:58:27,PLUMBING,QUEENS,Jamaica,HPD,Director Priya Nair,Closed,2024-06-19T21:53:45,,168,NO,An inspection was conducted and a violation was issued.
SR-2024-20000203,2024-06-15T02:19:31,PLUMBING,QUEENS,Flushing,HPD,Director Priya Nair,Open,,3.7,168,NO,
SR-2024-20000204,2024-06-14T08:23:39,Water System,BROOKLYN,Bed-Stuy,DEP,Mgr. Yvonne Blake,Closed,2024-06-15T17:15:00,,48,NO,A work crew was dispatched and resolved the issue.
SR-2024-20000205,2024-06-14T23:34:36,Illegal Parking,MANHATTAN,Chelsea,NYPD,Lt. Marcus Webb,Closed,2024-06-15T23:15:54,,24,NO,The Police Department responded to the complaint and took action.
SR-2024-20000206,2024-06-08T13:00:00,Request Large Bulky Item Collection,BRONX,Fordham,DSNY,Supt. Carlos Rivera,Closed,2024-06-09T07:54:14,,48,NO,Item was collected during the next scheduled pickup.
SR-2024-20000207,2024-06-14T21:29:11,Noise - Residential,STATEN ISLAND,Stapleton,NYPD,Lt. Marcus Webb,Closed,2024-06-15T10:37:45,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000208,2024-06-14T10:32:34,PAINT/PLASTER,BROOKLYN,Crown Heights,HPD,Director Priya Nair,Closed,2024-06-17T17:33:39,,168,NO,The building owner was notified and corrected the condition.
SR-2024-20000209,2024-06-12T21:00:00,PAINT/PLASTER,MANHATTAN,Harlem,HPD,Director Priya Nair,Open,,57.0,168,NO,
SR-2024-20000210,2024-06-14T17:45:08,Noise - Residential,BROOKLYN,Bed-Stuy,NYPD,Lt. Marcus Webb,Closed,2024-06-15T18:13:22,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000211,2024-06-14T15:18:12,PAINT/PLASTER,MANHATTAN,Inwood,HPD,Director Priya Nair,Open,,14.7,168,NO,
SR-2024-20000212,2024-06-15T04:02:10,Noise - Residential,STATEN ISLAND,New Dorp,NYPD,Lt. Marcus Webb,Open,,2.0,24,NO,
SR-2024-20000213,2024-06-14T09:32:08,Noise - Residential,QUEENS,Forest Hills,NYPD,Lt. Marcus Webb,Closed,2024-06-15T00:16:18,,24,NO,The Police Department responded to the complaint and took action.
SR-2024-20000214,2024-06-14T18:43:42,Graffiti,BRONX,Riverdale,DSNY,Supt. Carlos Rivera,Open,,11.3,48,NO,
SR-2024-20000215,2024-06-12T16:00:00,Noise - Residential,QUEENS,Forest Hills,NYPD,Lt. Marcus Webb,Closed,2024-06-13T14:24:43,,24,NO,The Police Department responded to the complaint and took action.
SR-2024-20000216,2024-06-14T07:28:43,Water System,MANHATTAN,Inwood,DEP,Mgr. Yvonne Blake,Closed,2024-06-15T09:28:11,,48,NO,The condition was investigated and corrected.
SR-2024-20000217,2024-06-09T06:00:00,Graffiti,BROOKLYN,Crown Heights,DSNY,Supt. Carlos Rivera,Open,,144.0,48,YES,
SR-2024-20000218,2024-06-08T02:00:00,Noise - Vehicle,MANHATTAN,Washington Heights,NYPD,Lt. Marcus Webb,Open,,172.0,24,YES,
SR-2024-20000219,2024-06-14T17:01:43,Request Large Bulky Item Collection,BROOKLYN,Williamsburg,DSNY,Supt. Carlos Rivera,Open,,13.0,48,NO,
SR-2024-20000220,2024-06-14T20:22:08,Noise - Residential,QUEENS,Jamaica,NYPD,Lt. Marcus Webb,Closed,2024-06-15T05:46:18,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000221,2024-06-10T16:00:00,UNSANITARY CONDITION,QUEENS,Forest Hills,HPD,Director Priya Nair,Closed,2024-06-17T11:06:17,,168,NO,The building owner was notified and corrected the condition.
SR-2024-20000222,2024-06-08T04:00:00,Illegal Parking,MANHATTAN,Washington Heights,NYPD,Lt. Marcus Webb,Open,,170.0,24,YES,
SR-2024-20000223,2024-06-10T00:00:00,Non-Emergency Police Matter,QUEENS,Forest Hills,NYPD,Lt. Marcus Webb,Closed,2024-06-10T23:13:04,,24,NO,The Police Department responded to the complaint and took action.
SR-2024-20000224,2024-06-14T13:30:40,PLUMBING,BROOKLYN,Flatbush,HPD,Director Priya Nair,Closed,2024-06-17T17:25:08,,168,NO,The building owner was notified and corrected the condition.
SR-2024-20000225,2024-06-14T12:50:04,Noise - Residential,MANHATTAN,Washington Heights,NYPD,Lt. Marcus Webb,Closed,2024-06-15T00:42:52,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000226,2024-06-11T20:00:00,Noise - Commercial,QUEENS,Jamaica,NYPD,Lt. Marcus Webb,Open,,82.0,24,YES,
SR-2024-20000227,2024-06-14T14:46:57,PAINT/PLASTER,QUEENS,Astoria,HPD,Director Priya Nair,Open,,15.2,168,NO,
SR-2024-20000228,2024-06-10T17:00:00,Noise - Vehicle,MANHATTAN,Inwood,NYPD,Lt. Marcus Webb,Closed,2024-06-11T14:25:36,,24,NO,The Police Department responded to the complaint and took action.
SR-2024-20000229,2024-06-14T14:19:54,Request Large Bulky Item Collection,BROOKLYN,Bed-Stuy,DSNY,Supt. Carlos Rivera,Open,,15.7,48,NO,
SR-2024-20000230,2024-06-11T02:00:00,Street Light Condition,QUEENS,Flushing,DOT,Dir. Samantha Chen,Closed,2024-06-12T20:07:28,,72,NO,The Department of Transportation inspected and corrected the condition.
SR-2024-20000231,2024-06-14T22:16:30,Noise - Residential,BROOKLYN,Flatbush,NYPD,Lt. Marcus Webb,Closed,2024-06-15T09:55:52,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000232,2024-06-15T01:29:21,Elevator,QUEENS,Jackson Heights,DOB,Insp. Tony Marchetti,Closed,2024-06-16T11:56:42,,96,NO,A building inspector was dispatched and the condition was addressed.
SR-2024-20000233,2024-06-12T15:00:00,Illegal Parking,QUEENS,Astoria,NYPD,Lt. Marcus Webb,Closed,2024-06-13T01:09:15,,24,NO,The Police Department responded to the complaint and took action.
SR-2024-20000234,2024-06-14T20:58:50,Blocked Driveway,BROOKLYN,Bed-Stuy,NYPD,Lt. Marcus Webb,Closed,2024-06-15T16:43:43,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000235,2024-06-12T17:00:00,Elevator,BROOKLYN,Flatbush,DOB,Insp. Tony Marchetti,Open,,61.0,96,NO,
SR-2024-20000236,2024-06-09T22:00:00,Blocked Driveway,QUEENS,Jackson Heights,NYPD,Lt. Marcus Webb,Closed,2024-06-11T00:05:48,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000237,2024-06-08T17:00:00,Water System,BROOKLYN,Flatbush,DEP,Mgr. Yvonne Blake,Closed,2024-06-09T17:34:31,,48,NO,A work crew was dispatched and resolved the issue.
SR-2024-20000238,2024-06-09T00:00:00,Noise - Residential,BRONX,Pelham Bay,NYPD,Lt. Marcus Webb,Closed,2024-06-09T23:34:32,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000239,2024-06-08T14:00:00,PLUMBING,BROOKLYN,Bed-Stuy,HPD,Director Priya Nair,Open,,160.0,168,NO,
SR-2024-20000240,2024-06-14T07:18:49,Street Light Condition,QUEENS,Jackson Heights,DOT,Dir. Samantha Chen,Closed,2024-06-17T09:55:02,,72,NO,A work order was issued for repair.
SR-2024-20000241,2024-06-14T17:22:02,Water System,BRONX,Riverdale,DEP,Mgr. Yvonne Blake,Closed,2024-06-15T17:54:40,,48,NO,The condition was investigated and corrected.
SR-2024-20000242,2024-06-10T12:00:00,Water System,BRONX,Pelham Bay,DEP,Mgr. Yvonne Blake,Closed,2024-06-11T19:36:17,,48,NO,A work crew was dispatched and resolved the issue.
SR-2024-20000243,2024-06-12T18:00:00,Blocked Driveway,QUEENS,Jamaica,NYPD,Lt. Marcus Webb,Open,,60.0,24,YES,
SR-2024-20000244,2024-06-15T00:49:06,Request Large Bulky Item Collection,BROOKLYN,Bushwick,DSNY,Supt. Carlos Rivera,Closed,2024-06-16T17:35:59,,48,NO,Item was collected during the next scheduled pickup.
SR-2024-20000245,2024-06-14T17:26:41,PLUMBING,QUEENS,Flushing,HPD,Director Priya Nair,Closed,2024-06-19T22:37:37,,168,NO,The building owner was notified and corrected the condition.
SR-2024-20000246,2024-06-12T06:00:00,Non-Emergency Police Matter,BRONX,Pelham Bay,NYPD,Lt. Marcus Webb,Closed,2024-06-13T05:07:42,,24,NO,The Police Department responded to the complaint and took action.
SR-2024-20000247,2024-06-07T16:00:00,Blocked Driveway,QUEENS,Flushing,NYPD,Lt. Marcus Webb,Open,,182.0,24,YES,
SR-2024-20000248,2024-06-12T07:00:00,Noise - Residential,BRONX,Mott Haven,NYPD,Lt. Marcus Webb,Closed,2024-06-13T00:28:53,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000249,2024-06-14T07:47:31,Street Condition,BROOKLYN,Bushwick,DOT,Dir. Samantha Chen,Closed,2024-06-17T04:30:53,,72,NO,A work order was issued for repair.
SR-2024-20000250,2024-06-11T06:00:00,Derelict Vehicle,BRONX,Fordham,NYPD,Lt. Marcus Webb,Closed,2024-06-12T06:16:03,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000251,2024-06-08T06:00:00,Street Light Condition,STATEN ISLAND,Port Richmond,DOT,Dir. Samantha Chen,Closed,2024-06-11T08:35:18,,72,NO,The Department of Transportation inspected and corrected the condition.
SR-2024-20000252,2024-06-11T04:00:00,Noise - Street/Sidewalk,QUEENS,Jamaica,NYPD,Lt. Marcus Webb,Closed,2024-06-11T19:29:38,,24,NO,The Police Department responded to the complaint and took action.
SR-2024-20000253,2024-06-14T12:29:48,HEAT/HOT WATER,QUEENS,Astoria,HPD,Director Priya Nair,Open,,17.5,168,NO,
SR-2024-20000254,2024-06-13T05:00:00,Noise - Commercial,QUEENS,Astoria,NYPD,Lt. Marcus Webb,Closed,2024-06-13T13:13:52,,24,NO,The Police Department responded to the complaint and took action.
SR-2024-20000255,2024-06-15T05:36:51,Noise - Street/Sidewalk,MANHATTAN,Washington Heights,NYPD,Lt. Marcus Webb,Open,,0.4,24,NO,
SR-2024-20000256,2024-06-14T18:08:22,HEAT/HOT WATER,BROOKLYN,Bed-Stuy,HPD,Director Priya Nair,Closed,2024-06-21T14:24:08,,168,NO,An inspection was conducted and a violation was issued.
SR-2024-20000257,2024-06-14T14:09:02,Derelict Vehicle,QUEENS,Astoria,NYPD,Lt. Marcus Webb,Closed,2024-06-15T09:03:47,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000258,2024-06-14T10:36:01,Noise - Residential,BROOKLYN,Bed-Stuy,NYPD,Lt. Marcus Webb,Closed,2024-06-15T01:46:46,,24,NO,The Police Department responded to the complaint and took action.
SR-2024-20000259,2024-06-14T20:44:38,PAINT/PLASTER,QUEENS,Astoria,HPD,Director Priya Nair,Open,,9.3,168,NO,
SR-2024-20000260,2024-06-11T05:00:00,Homeless Person Assistance,BRONX,Pelham Bay,DHS,Dir. Fatima Hassan,Open,,97.0,24,YES,
SR-2024-20000261,2024-06-14T23:01:06,Homeless Person Assistance,BRONX,Tremont,DHS,Dir. Fatima Hassan,Open,,7.0,24,NO,
SR-2024-20000262,2024-06-07T08:00:00,PAINT/PLASTER,QUEENS,Flushing,HPD,Director Priya Nair,Closed,2024-06-10T00:49:13,,168,NO,The building owner was notified and corrected the condition.
SR-2024-20000263,2024-06-07T09:00:00,UNSANITARY CONDITION,STATEN ISLAND,Port Richmond,HPD,Director Priya Nair,Open,,189.0,168,YES,
SR-2024-20000264,2024-06-15T02:35:00,Street Light Condition,MANHATTAN,Chelsea,DOT,Dir. Samantha Chen,Closed,2024-06-16T04:12:29,,72,NO,The Department of Transportation inspected and corrected the condition.
SR-2024-20000265,2024-06-15T05:43:41,Illegal Parking,BROOKLYN,Flatbush,NYPD,Lt. Marcus Webb,Open,,0.3,24,NO,
SR-2024-20000266,2024-06-09T14:00:00,Rodent,QUEENS,Forest Hills,DOHMH,Dr. James Okafor,Open,,136.0,72,YES,
SR-2024-20000267,2024-06-14T10:32:06,UNSANITARY CONDITION,MANHATTAN,Inwood,HPD,Director Priya Nair,Closed,2024-06-20T22:14:44,,168,NO,An inspection was conducted and a violation was issued.
SR-2024-20000268,2024-06-14T08:12:50,Illegal Parking,BROOKLYN,Bed-Stuy,NYPD,Lt. Marcus Webb,Closed,2024-06-14T19:13:22,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000269,2024-06-14T10:18:47,HEAT/HOT WATER,QUEENS,Astoria,HPD,Director Priya Nair,Closed,2024-06-17T13:17:04,,168,NO,The building owner was notified and corrected the condition.
SR-2024-20000270,2024-06-14T09:11:01,HEAT/HOT WATER,QUEENS,Flushing,HPD,Director Priya Nair,Closed,2024-06-17T07:30:55,,168,NO,An inspection was conducted and a violation was issued.
SR-2024-20000271,2024-06-15T03:19:50,Street Light Condition,BRONX,Tremont,DOT,Dir. Samantha Chen,Open,,2.7,72,NO,
SR-2024-20000272,2024-06-14T22:47:31,UNSANITARY CONDITION,BRONX,Fordham,HPD,Director Priya Nair,Open,,7.2,168,NO,
SR-2024-20000273,2024-06-09T12:00:00,Noise - Street/Sidewalk,BROOKLYN,Williamsburg,NYPD,Lt. Marcus Webb,Closed,2024-06-10T13:30:15,,24,NO,The Police Department responded to the complaint and took action.
SR-2024-20000274,2024-06-14T17:36:19,Illegal Parking,BRONX,Tremont,NYPD,Lt. Marcus Webb,Closed,2024-06-15T05:56:59,,24,NO,The Police Department responded to the complaint and took action.
SR-2024-20000275,2024-06-14T09:45:35,UNSANITARY CONDITION,BROOKLYN,Crown Heights,HPD,Director Priya Nair,Open,,20.2,168,NO,
SR-2024-20000276,2024-06-10T12:00:00,Request Large Bulky Item Collection,MANHATTAN,Inwood,DSNY,Supt. Carlos Rivera,Open,,114.0,48,YES,
SR-2024-20000277,2024-06-11T14:00:00,Noise - Residential,BROOKLYN,Bushwick,NYPD,Lt. Marcus Webb,Closed,2024-06-12T08:36:49,,24,NO,The Police Department responded to the complaint and took action.
SR-2024-20000278,2024-06-14T23:36:33,Illegal Parking,MANHATTAN,Inwood,NYPD,Lt. Marcus Webb,Closed,2024-06-15T13:06:31,,24,NO,The Police Department responded to the complaint and took action.
SR-2024-20000279,2024-06-14T15:50:08,PLUMBING,MANHATTAN,Washington Heights,HPD,Director Priya Nair,Closed,2024-06-21T00:23:51,,168,NO,The building owner was notified and corrected the condition.
SR-2024-20000280,2024-06-11T16:00:00,Elevator,QUEENS,Forest Hills,DOB,Insp. Tony Marchetti,Closed,2024-06-13T19:24:49,,96,NO,A violation was issued and the owner was notified.
SR-2024-20000281,2024-06-14T13:12:23,Street Light Condition,BROOKLYN,Bed-Stuy,DOT,Dir. Samantha Chen,Open,,16.8,72,NO,
SR-2024-20000282,2024-06-12T04:00:00,Noise - Residential,BROOKLYN,Bushwick,NYPD,Lt. Marcus Webb,Closed,2024-06-12T15:04:25,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000283,2024-06-14T22:12:06,PLUMBING,BROOKLYN,Bushwick,HPD,Director Priya Nair,Closed,2024-06-20T11:15:29,,168,NO,An inspection was conducted and a violation was issued.
SR-2024-20000284,2024-06-09T17:00:00,Illegal Parking,QUEENS,Astoria,NYPD,Lt. Marcus Webb,Closed,2024-06-10T05:05:31,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000285,2024-06-15T02:25:05,UNSANITARY CONDITION,BRONX,Mott Haven,HPD,Director Priya Nair,Closed,2024-06-19T11:27:43,,168,NO,The building owner was notified and corrected the condition.
SR-2024-20000286,2024-06-11T02:00:00,Rodent,MANHATTAN,Inwood,DOHMH,Dr. James Okafor,Open,,100.0,72,YES,
SR-2024-20000287,2024-06-10T21:00:00,Street Light Condition,MANHATTAN,Harlem,DOT,Dir. Samantha Chen,Open,,105.0,72,YES,
SR-2024-20000288,2024-06-09T14:00:00,Street Light Condition,QUEENS,Astoria,DOT,Dir. Samantha Chen,Closed,2024-06-12T06:54:55,,72,NO,The Department of Transportation inspected and corrected the condition.
SR-2024-20000289,2024-06-12T11:00:00,Graffiti,BROOKLYN,Bushwick,DSNY,Supt. Carlos Rivera,Open,,67.0,48,YES,
SR-2024-20000290,2024-06-09T11:00:00,Noise - Street/Sidewalk,MANHATTAN,Inwood,NYPD,Lt. Marcus Webb,Open,,139.0,24,YES,
SR-2024-20000291,2024-06-10T02:00:00,PAINT/PLASTER,BROOKLYN,Bushwick,HPD,Director Priya Nair,Closed,2024-06-12T14:03:12,,168,NO,The building owner was notified and corrected the condition.
SR-2024-20000292,2024-06-15T04:53:47,Water System,BROOKLYN,Bushwick,DEP,Mgr. Yvonne Blake,Closed,2024-06-16T06:29:14,,48,NO,A work crew was dispatched and resolved the issue.
SR-2024-20000293,2024-06-12T06:00:00,PAINT/PLASTER,BROOKLYN,Crown Heights,HPD,Director Priya Nair,Open,,72.0,168,NO,
SR-2024-20000294,2024-06-14T13:16:13,PAINT/PLASTER,QUEENS,Astoria,HPD,Director Priya Nair,Closed,2024-06-21T23:34:39,,168,NO,An inspection was conducted and a violation was issued.
SR-2024-20000295,2024-06-08T16:00:00,Elevator,BRONX,Pelham Bay,DOB,Insp. Tony Marchetti,Closed,2024-06-11T20:43:08,,96,NO,A building inspector was dispatched and the condition was addressed.
SR-2024-20000296,2024-06-11T02:00:00,Rodent,QUEENS,Flushing,DOHMH,Dr. James Okafor,Open,,100.0,72,YES,
SR-2024-20000297,2024-06-14T15:12:40,Street Condition,BROOKLYN,Flatbush,DOT,Dir. Samantha Chen,Open,,14.8,72,NO,
SR-2024-20000298,2024-06-08T15:00:00,Blocked Driveway,MANHATTAN,East Village,NYPD,Lt. Marcus Webb,Closed,2024-06-09T00:01:49,,24,NO,The Police Department responded to the complaint and took action.
SR-2024-20000299,2024-06-12T12:00:00,Noise - Street/Sidewalk,QUEENS,Jackson Heights,NYPD,Lt. Marcus Webb,Closed,2024-06-13T02:14:02,,24,NO,The Police Department responded to the complaint and took action.
